,Tanggal,Produk,Kategori,Jumlah,Harga_Satuan,Total_Penjualan
10031,2025-01-07,Tepung Terigu Consequuntur,Kebutuhan Pokok,2.0,Rp25.545,Rp51.090
10032,2023-12-11,Tongkat Kriket Voluptatum,Hiburan,4.0,Rp76.643,Rp306.572
10033,2024-06-24,Sofa Deleniti,Furnitur,4.0,Rp60.561,Rp242.244
10034,2025-07-11,Mobil Remote Quam,Hiburan,4.0,Rp19.080,Rp76.320
10035,2023-12-31,Action Figure Laboriosam,Hiburan,2.0,Rp48.271,Rp96.542
10036,2025-03-08,Lipstik Accusantium,Kecantikan,4.0,Rp7.232,Rp28.928
10037,2024-12-02,Dumbel Quas,Hiburan,2.0,Rp78.467,Rp156.934
10038,2023-10-19,Matras Yoga Quaerat,Hiburan,4.0,Rp34.124,Rp136.496
10039,2025-09-30,Puzzle Assumenda,Hiburan,2.0,Rp60.907,Rp121.814
10040,2023-11-16,Kulkas Libero,Peralatan Dapur,5.0,Rp9.102,Rp45.510
10041,2024-09-18,Permainan Papan Consequuntur,Hiburan,5.0,Rp76.782,Rp383.910
10042,2025-07-01,Boneka Laborum,Hiburan,5.0,Rp57.559,Rp287.795
10043,2024-02-11,Kamera A,Elektronik,2.0,Rp68.630,Rp137.260
10044,2024-10-23,Beras Incidunt,Kebutuhan Pokok,5.0,Rp64.105,Rp320.525
10045,2023-11-03,Buku Pelajaran Consequuntur,Buku,2.0,Rp68.202,Rp136.404
10046,2023-11-20,Biografi Magni,Buku,1.0,Rp36.207,Rp36.207
10047,2025-10-01,Parfum Quisquam,Kecantikan,3.0,Rp55.843,Rp167.529
10048,2025-09-03,Raket Tenis Sapiente,Hiburan,5.0,Rp60.512,Rp302.560
10049,2025-01-22,Puzzle Dolorem,Hiburan,1.0,Rp70.834,Rp70.834
10050,2024-04-28,Sepatu Deleniti,Pakaian,1.0,Rp33.485,Rp33.485
10051,2024-05-04,Parfum Rerum,Kecantikan,5.0,Rp8.568,Rp42.840
10052,2025-05-06,Sofa Omnis,Furnitur,4.0,Rp64.645,Rp258.580
10053,2025-09-02,Biografi Illum,Buku,5.0,Rp12.976,Rp64.880
10054,2024-04-15,Pakaian Wanita Odio,Pakaian,3.0,Rp27.698,Rp83.094
10055,2023-12-09,Raket Tenis Ea,Hiburan,2.0,Rp28.261,Rp56.522
10056,2024-05-19,Tempat Tidur Molestias,Furnitur,5.0,Rp42.462,Rp212.310
10057,2023-12-05,Hiasan Dinding Excepturi,Dekorasi Rumah,4.0,Rp62.926,Rp251.704
10058,2024-10-16,Puzzle Ut,Hiburan,4.0,Rp73.473,Rp293.892
10059,2024-10-09,Lemari Odit,Furnitur,3.0,Rp29.226,Rp87.678
10060,2025-05-16,Vas Bunga Necessitatibus,Dekorasi Rumah,2.0,Rp9.860,Rp19.720
10061,2025-04-30,Sepak Bola Eveniet,Hiburan,5.0,Rp17.665,Rp88.325
10062,2024-04-09,Set Peralatan Masak Nisi,Peralatan Dapur,2.0,Rp13.751,Rp27.502
10063,2025-01-26,Juicer Totam,Peralatan Dapur,5.0,Rp11.226,Rp56.130
10064,2023-12-27,Action Figure Cum,Hiburan,4.0,Rp70.618,Rp282.472
10065,2024-06-23,Biografi Nobis,Buku,3.0,Rp37.492,Rp112.476
10066,2024-06-22,Juicer Vero,Peralatan Dapur,2.0,Rp34.997,Rp69.994
10067,2025-05-28,Blender Pengaduk Recusandae,Peralatan Dapur,2.0,Rp71.572,Rp143.144
10068,2024-02-23,Biografi Ad,Buku,5.0,Rp38.936,Rp194.680
10069,2023-11-24,Vas Bunga Molestiae,Dekorasi Rumah,1.0,Rp19.506,Rp19.506
10070,2025-01-02,Raket Tenis At,Hiburan,5.0,Rp48.227,Rp241.135
10071,2024-08-31,Raket Tenis Ipsa,Hiburan,3.0,Rp2.697,Rp8.091
10072,2025-06-18,Mobil Remote Eius,Hiburan,4.0,Rp47.678,Rp190.712
10073,2025-04-01,Bantal Quis,Dekorasi Rumah,1.0,Rp39.545,Rp39.545
10074,2024-03-14,Puzzle Nesciunt,Hiburan,5.0,Rp60.787,Rp303.935
10075,2024-12-09,Action Figure Placeat,Hiburan,1.0,Rp26.035,Rp26.035
10076,2025-01-17,Pakaian Anak Aut,Pakaian,5.0,Rp41.865,Rp209.325
10077,2025-03-04,Set Peralatan Masak Libero,Peralatan Dapur,4.0,Rp76.576,Rp306.304
10078,2024-04-10,Kamera Nostrum,Elektronik,2.0,Rp33.749,Rp67.498
10079,2024-07-05,Kulkas Sequi,Peralatan Dapur,4.0,Rp46.014,Rp184.056
10080,2025-02-17,Lipstik At,Kecantikan,5.0,Rp55.423,Rp277.115
10081,2023-12-05,Lemari Nobis,Furnitur,5.0,Rp5.463,Rp27.315
10082,2024-12-13,Matras Yoga Deserunt,Hiburan,1.0,Rp4.714,Rp4.714
10083,2025-06-20,Raket Tenis Cupiditate,Hiburan,4.0,Rp31.170,Rp124.680
10084,2024-07-20,Vas Bunga Similique,Dekorasi Rumah,1.0,Rp8.927,Rp8.927
10085,2024-11-01,Lemari Natus,Furnitur,1.0,Rp16.256,Rp16.256
10086,2025-06-02,Permainan Papan Sequi,Hiburan,2.0,Rp22.240,Rp44.480
10087,2024-03-29,Minyak Goreng Modi,Kebutuhan Pokok,3.0,Rp62.172,Rp186.516
10088,2023-11-15,Raket Tenis Aperiam,Hiburan,5.0,Rp39.458,Rp197.290
10089,2024-12-25,Komik Voluptatibus,Buku,4.0,Rp34.376,Rp137.504
10090,2025-02-26,Pakaian Anak Ipsa,Pakaian,4.0,Rp53.084,Rp212.336
10091,2025-06-08,Lipstik Nostrum,Kecantikan,3.0,Rp60.656,Rp181.968
10092,2025-01-29,Kamera Ipsa,Elektronik,1.0,Rp73.564,Rp73.564
10093,2025-01-11,Sofa Quaerat,Furnitur,5.0,Rp26.060,Rp130.300
10094,2025-01-08,Parfum Qui,Kecantikan,4.0,Rp72.702,Rp290.808
10095,2024-01-12,Kamera Temporibus,Elektronik,2.0,Rp40.818,Rp81.636
10096,2024-05-31,Rempah-rempah Reiciendis,Kebutuhan Pokok,3.0,Rp24.183,Rp72.549
10097,2024-10-17,Minyak Goreng Non,Kebutuhan Pokok,4.0,Rp19.526,Rp78.104
10098,2023-11-26,Fiksi Nemo,Buku,5.0,Rp54.037,Rp270.185
10099,2024-02-12,Matras Yoga Optio,Hiburan,5.0,Rp63.813,Rp319.065
10100,2023-12-24,Ponsel Harum,Elektronik,3.0,Rp74.680,Rp224.040
10101,2025-06-16,Aksesori Natus,Pakaian,4.0,Rp13.189,Rp52.756
10102,2024-11-04,Dumbel Quos,Hiburan,4.0,Rp1.138,Rp4.552
10103,2025-08-14,Sofa Repudiandae,Furnitur,5.0,Rp76.226,Rp381.130
10104,2025-02-10,Boneka Totam,Hiburan,3.0,Rp31.343,Rp94.029
10105,2023-11-17,Lampu Pariatur,Dekorasi Rumah,4.0,Rp61.338,Rp245.352
10106,2024-05-19,Meja Laudantium,Furnitur,1.0,Rp8.623,Rp8.623
10107,2024-10-27,Dumbel Aspernatur,Hiburan,3.0,Rp41.142,Rp123.426
10108,2024-06-08,Pakaian Anak Architecto,Pakaian,5.0,Rp13.088,Rp65.440
10109,2024-09-07,Tempat Tidur Officiis,Furnitur,1.0,Rp44.965,Rp44.965
10110,2025-01-05,Mobil Remote Incidunt,Hiburan,4.0,Rp28.822,Rp115.288
10111,2024-10-22,Kamera Dignissimos,Elektronik,2.0,Rp30.299,Rp60.598
10112,2024-04-12,Microwave Vero,Peralatan Dapur,2.0,Rp44.595,Rp89.190
10113,2023-10-04,Meja Repudiandae,Furnitur,3.0,Rp32.301,Rp96.903
10114,2023-11-30,Bantal Dignissimos,Dekorasi Rumah,3.0,Rp78.217,Rp234.651
10115,2024-11-23,Permainan Papan Earum,Hiburan,5.0,Rp19.154,Rp95.770
10116,2025-05-15,Juicer In,Peralatan Dapur,4.0,Rp25.790,Rp103.160
10117,2024-05-10,Lipstik Soluta,Kecantikan,3.0,Rp78.010,Rp234.030
10118,2025-01-30,Microwave Aperiam,Peralatan Dapur,4.0,Rp8.753,Rp35.012
10119,2024-09-26,Microwave Reiciendis,Peralatan Dapur,5.0,Rp49.477,Rp247.385
10120,2025-01-10,Matras Yoga Vel,Hiburan,1.0,Rp54.160,Rp54.160
10121,2025-05-16,Sepak Bola Eum,Hiburan,2.0,Rp58.592,Rp117.184
10122,2025-04-25,Laptop Amet,Elektronik,1.0,Rp6.284,Rp6.284
10123,2025-06-23,Rempah-rempah Non,Kebutuhan Pokok,4.0,Rp79.276,Rp317.104
10124,2024-12-02,Sepatu Recusandae,Pakaian,3.0,Rp22.072,Rp66.216
10125,2024-11-22,Juicer Deleniti,Peralatan Dapur,1.0,Rp61.175,Rp61.175
10126,2024-06-03,Fiksi Necessitatibus,Buku,3.0,Rp53.034,Rp159.102
10127,2025-02-09,Minyak Goreng Laboriosam,Kebutuhan Pokok,3.0,Rp20.304,Rp60.912
10128,2024-11-12,Bantal Id,Dekorasi Rumah,3.0,Rp19.607,Rp58.821
10129,2025-07-31,Meja Placeat,Furnitur,1.0,Rp26.827,Rp26.827
10130,2024-03-07,Rempah-rempah Error,Kebutuhan Pokok,5.0,Rp31.262,Rp156.310
10131,2024-07-03,Headphone Id,Elektronik,4.0,Rp61.765,Rp247.060
10132,2024-08-22,Pakaian Wanita Ipsa,Pakaian,4.0,Rp2.962,Rp11.848
10133,2024-08-01,Puzzle Placeat,Hiburan,3.0,Rp17.679,Rp53.037
10134,2024-01-23,Sofa Nulla,Furnitur,1.0,Rp79.310,Rp79.310
10135,2024-08-06,Kamera Culpa,Elektronik,4.0,Rp33.270,Rp133.080
10136,2024-03-24,Boneka Adipisci,Hiburan,3.0,Rp35.928,Rp107.784
10137,2025-03-26,Permainan Papan Animi,Hiburan,1.0,Rp62.438,Rp62.438
10138,2024-10-18,Tempat Tidur Accusantium,Furnitur,4.0,Rp41.162,Rp164.648
10139,2025-01-15,Ponsel Aspernatur,Elektronik,4.0,Rp78.576,Rp314.304
10140,2025-08-13,Non-Fiksi Quae,Buku,3.0,Rp38.456,Rp115.368
10141,2024-09-29,Pakaian Anak Tempora,Pakaian,1.0,Rp51.518,Rp51.518
10142,2023-12-05,Ponsel Ea,Elektronik,3.0,Rp25.964,Rp77.892
10143,2024-04-20,Lemari Voluptatum,Furnitur,5.0,Rp38.240,Rp191.200
10144,2024-04-02,Raket Tenis Asperiores,Hiburan,2.0,Rp40.778,Rp81.556
10145,2024-08-14,Sepak Bola Dolores,Hiburan,5.0,Rp22.147,Rp110.735
10146,2024-11-13,Meja Tenetur,Furnitur,1.0,Rp48.776,Rp48.776
10147,2024-01-01,Jam Tangan Pintar Eum,Elektronik,2.0,Rp74.802,Rp149.604
10148,2024-01-14,Blender Pengaduk Porro,Peralatan Dapur,1.0,Rp77.440,Rp77.440
10149,2024-06-14,Juicer Reiciendis,Peralatan Dapur,1.0,Rp42.881,Rp42.881
10150,2024-03-04,Non-Fiksi Commodi,Buku,4.0,Rp11.205,Rp44.820
10151,2025-08-24,Puzzle Repellendus,Hiburan,4.0,Rp67.259,Rp269.036
10152,2025-08-25,Rempah-rempah Suscipit,Kebutuhan Pokok,3.0,Rp21.886,Rp65.658
10153,2025-07-11,Microwave Officiis,Peralatan Dapur,3.0,Rp8.844,Rp26.532
10154,2023-12-29,Set Peralatan Masak Quo,Peralatan Dapur,3.0,Rp32.484,Rp97.452
10155,2023-12-12,Jam Dinding Itaque,Dekorasi Rumah,2.0,Rp26.027,Rp52.054
10156,2024-12-22,Foundation Nihil,Kecantikan,4.0,Rp43.826,Rp175.304
10157,2024-04-07,Action Figure Enim,Hiburan,1.0,Rp39.221,Rp39.221
10158,2025-02-03,Mobil Remote In,Hiburan,1.0,Rp54.312,Rp54.312
10159,2025-06-21,Pakaian Anak Aliquid,Pakaian,1.0,Rp15.748,Rp15.748
10160,2024-07-31,Headphone Labore,Elektronik,2.0,Rp68.044,Rp136.088
10161,2025-09-26,Jam Dinding Officia,Dekorasi Rumah,5.0,Rp8.465,Rp42.325
10162,2024-07-22,Sofa Dolor,Furnitur,1.0,Rp63.767,Rp63.767
10163,2024-09-14,Biografi Mollitia,Buku,5.0,Rp43.178,Rp215.890
10164,2024-06-21,Juicer Possimus,Peralatan Dapur,5.0,Rp44.801,Rp224.005
10165,2025-08-21,Bantal Quasi,Dekorasi Rumah,4.0,Rp71.174,Rp284.696
10166,2025-09-18,Komik Ad,Buku,2.0,Rp56.852,Rp113.704
10167,2025-04-01,Meja Expedita,Furnitur,3.0,Rp8.167,Rp24.501
10168,2024-04-07,Dumbel Voluptatem,Hiburan,2.0,Rp59.433,Rp118.866
10169,2024-03-21,Tepung Terigu Beatae,Kebutuhan Pokok,3.0,Rp42.341,Rp127.023
10170,2025-07-28,Raket Tenis Doloremque,Hiburan,5.0,Rp23.230,Rp116.150
10171,2024-06-29,Sepak Bola Nesciunt,Hiburan,3.0,Rp39.790,Rp119.370
10172,2024-10-29,Blender Pengaduk Officia,Peralatan Dapur,3.0,Rp15.794,Rp47.382
10173,2025-01-16,Pakaian Pria Quos,Pakaian,1.0,Rp10.635,Rp10.635
10174,2025-04-16,Action Figure Dolor,Hiburan,1.0,Rp64.954,Rp64.954
10175,2024-09-28,Tempat Tidur Eius,Furnitur,1.0,Rp47.269,Rp47.269
10176,2023-12-23,Krim Wajah Id,Kecantikan,5.0,Rp21.181,Rp105.905
10177,2024-06-17,Kamera At,Elektronik,2.0,Rp40.371,Rp80.742
10178,2024-11-13,Permainan Papan Ab,Hiburan,5.0,Rp18.936,Rp94.680
10179,2024-10-21,Lemari A,Furnitur,1.0,Rp44.366,Rp44.366
10180,2025-03-25,Biografi Deserunt,Buku,1.0,Rp54.330,Rp54.330
10181,2024-08-03,Minyak Goreng In,Kebutuhan Pokok,4.0,Rp27.952,Rp111.808
10182,2024-08-02,Aksesori Culpa,Pakaian,5.0,Rp10.007,Rp50.035
10183,2023-12-02,Lampu Exercitationem,Dekorasi Rumah,2.0,Rp8.172,Rp16.344
10184,2025-02-27,Ponsel Magnam,Elektronik,5.0,Rp27.145,Rp135.725
10185,2024-10-09,Parfum Neque,Kecantikan,4.0,Rp73.974,Rp295.896
10186,2025-04-20,Tongkat Kriket Delectus,Hiburan,4.0,Rp36.775,Rp147.100
10187,2024-08-03,Set Peralatan Masak Minima,Peralatan Dapur,2.0,Rp8.566,Rp17.132
10188,2024-06-23,Puzzle Nulla,Hiburan,2.0,Rp10.036,Rp20.072
10189,2023-12-04,Kursi Veniam,Furnitur,4.0,Rp33.969,Rp135.876
10190,2023-10-19,Sepatu Dolores,Pakaian,2.0,Rp29.047,Rp58.094
10191,2024-08-22,Hiasan Dinding Quidem,Dekorasi Rumah,4.0,Rp15.118,Rp60.472
10192,2025-05-14,Sepak Bola Architecto,Hiburan,4.0,Rp24.282,Rp97.128
10193,2023-10-10,Non-Fiksi Aliquid,Buku,1.0,Rp57.488,Rp57.488
10194,2024-08-16,Kulkas Quibusdam,Peralatan Dapur,1.0,Rp68.404,Rp68.404
10195,2025-01-02,Sofa Voluptas,Furnitur,4.0,Rp27.157,Rp108.628
10196,2024-08-24,Matras Yoga Nam,Hiburan,1.0,Rp13.561,Rp13.561
10197,2024-04-17,Meja Iusto,Furnitur,4.0,Rp72.077,Rp288.308
10198,2024-01-22,Aksesori Aspernatur,Pakaian,3.0,Rp40.130,Rp120.390
10199,2024-06-20,Sofa Dolorum,Furnitur,2.0,Rp48.439,Rp96.878
10200,2024-10-30,Krim Wajah Necessitatibus,Kecantikan,5.0,Rp50.870,Rp254.350
10201,2024-07-11,Pakaian Pria Quia,Pakaian,1.0,Rp73.982,Rp73.982
10202,2024-05-03,Permainan Papan Ipsa,Hiburan,4.0,Rp27.226,Rp108.904
10203,2024-02-10,Boneka Soluta,Hiburan,2.0,Rp39.988,Rp79.976
10204,2025-09-06,Dumbel Unde,Hiburan,4.0,Rp65.084,Rp260.336
10205,2025-05-16,Beras Odit,Kebutuhan Pokok,2.0,Rp32.591,Rp65.182
10206,2025-01-15,Pakaian Anak Sed,Pakaian,3.0,Rp19.535,Rp58.605
10207,2024-05-13,Non-Fiksi Occaecati,Buku,4.0,Rp22.065,Rp88.260
10208,2024-09-14,Sampo Provident,Kecantikan,2.0,Rp48.559,Rp97.118
10209,2024-12-27,Tongkat Kriket Minus,Hiburan,3.0,Rp47.479,Rp142.437
10210,2023-12-24,Headphone Similique,Elektronik,3.0,Rp62.485,Rp187.455
10211,2024-03-16,Rempah-rempah Incidunt,Kebutuhan Pokok,5.0,Rp18.762,Rp93.810
10212,2024-05-06,Headphone Maiores,Elektronik,5.0,Rp76.126,Rp380.630
10213,2025-03-20,Pakaian Wanita Iste,Pakaian,2.0,Rp60.550,Rp121.100
10214,2024-01-11,Minyak Goreng Sunt,Kebutuhan Pokok,3.0,Rp42.839,Rp128.517
10215,2024-03-03,Sofa Vel,Furnitur,4.0,Rp21.265,Rp85.060
10216,2025-07-17,Tempat Tidur Architecto,Furnitur,3.0,Rp50.927,Rp152.781
10217,2025-03-08,Fiksi Dolorem,Buku,4.0,Rp29.195,Rp116.780
10218,2024-12-01,Raket Tenis Rem,Hiburan,5.0,Rp39.970,Rp199.850
10219,2025-03-07,Headphone Recusandae,Elektronik,4.0,Rp19.169,Rp76.676
10220,2024-11-22,Mobil Remote Quam,Hiburan,3.0,Rp12.676,Rp38.028
10221,2025-01-10,Sampo Rem,Kecantikan,4.0,Rp16.526,Rp66.104
10222,2024-03-03,Kursi Sint,Furnitur,4.0,Rp4.135,Rp16.540
10223,2024-10-02,Lipstik Atque,Kecantikan,2.0,Rp22.859,Rp45.718
10224,2025-09-04,Non-Fiksi Porro,Buku,2.0,Rp77.443,Rp154.886
10225,2023-11-12,Blender Pengaduk Aperiam,Peralatan Dapur,3.0,Rp70.729,Rp212.187
10226,2024-05-14,Blender Pengaduk Placeat,Peralatan Dapur,5.0,Rp57.741,Rp288.705
10227,2024-07-18,Beras Ullam,Kebutuhan Pokok,5.0,Rp65.635,Rp328.175
10228,2025-09-03,Rempah-rempah Cum,Kebutuhan Pokok,3.0,Rp17.427,Rp52.281
10229,2024-05-04,Aksesori Est,Pakaian,5.0,Rp41.707,Rp208.535
10230,2024-08-07,Set Peralatan Masak Nihil,Peralatan Dapur,3.0,Rp12.925,Rp38.775
10231,2024-11-06,Tongkat Kriket Ex,Hiburan,4.0,Rp28.451,Rp113.804
10232,2024-02-16,Hiasan Dinding Earum,Dekorasi Rumah,1.0,Rp46.500,Rp46.500
10233,2024-11-28,Jam Dinding Optio,Dekorasi Rumah,4.0,Rp73.548,Rp294.192
10234,2025-08-14,Jam Dinding Maiores,Dekorasi Rumah,3.0,Rp51.697,Rp155.091
10235,2025-07-17,Gula Pasir Iusto,Kebutuhan Pokok,1.0,Rp39.944,Rp39.944
10236,2025-02-04,Sampo Libero,Kecantikan,4.0,Rp18.454,Rp73.816
10237,2024-12-14,Headphone Exercitationem,Elektronik,2.0,Rp30.222,Rp60.444
10238,2024-02-01,Biografi Deleniti,Buku,5.0,Rp7.034,Rp35.170
10239,2025-07-15,Headphone Doloribus,Elektronik,5.0,Rp57.335,Rp286.675
10240,2024-10-26,Pakaian Wanita Delectus,Pakaian,4.0,Rp9.093,Rp36.372
10241,2023-10-30,Juicer Sint,Peralatan Dapur,2.0,Rp34.565,Rp69.130
10242,2023-12-29,Hiasan Dinding Tenetur,Dekorasi Rumah,5.0,Rp52.040,Rp260.200
10243,2025-02-13,Kamera Minus,Elektronik,2.0,Rp53.365,Rp106.730
10244,2024-09-19,Raket Tenis Sed,Hiburan,4.0,Rp15.498,Rp61.992
10245,2023-10-30,Blender Pengaduk Aliquam,Peralatan Dapur,1.0,Rp3.128,Rp3.128
10246,2024-03-31,Pakaian Pria Ex,Pakaian,5.0,Rp23.664,Rp118.320
10247,2025-02-24,Rempah-rempah Pariatur,Kebutuhan Pokok,2.0,Rp28.416,Rp56.832
10248,2025-03-18,Lemari Nisi,Furnitur,1.0,Rp59.778,Rp59.778
10249,2024-06-13,Jam Tangan Pintar Tempore,Elektronik,4.0,Rp31.095,Rp124.380
10250,2023-10-18,Meja Deserunt,Furnitur,2.0,Rp50.258,Rp100.516
10251,2024-09-24,Jam Dinding Perferendis,Dekorasi Rumah,2.0,Rp60.360,Rp120.720
10252,2024-03-02,Boneka Assumenda,Hiburan,2.0,Rp63.148,Rp126.296
10253,2024-05-21,Pakaian Pria Aliquid,Pakaian,5.0,Rp57.913,Rp289.565
10254,2025-01-16,Pakaian Wanita Totam,Pakaian,2.0,Rp58.276,Rp116.552
10255,2023-11-07,Bantal Ipsum,Dekorasi Rumah,5.0,Rp6.472,Rp32.360
10256,2025-01-12,Headphone Deleniti,Elektronik,3.0,Rp3.517,Rp10.551
10257,2024-03-28,Rempah-rempah Reiciendis,Kebutuhan Pokok,3.0,Rp7.479,Rp22.437
10258,2024-10-21,Vas Bunga Laboriosam,Dekorasi Rumah,5.0,Rp72.191,Rp360.955
10259,2024-12-15,Aksesori Iure,Pakaian,1.0,Rp59.846,Rp59.846
10260,2024-06-03,Pakaian Wanita Officia,Pakaian,1.0,Rp59.828,Rp59.828
10261,2025-08-30,Pakaian Wanita Vero,Pakaian,2.0,Rp27.785,Rp55.570
10262,2024-10-25,Matras Yoga Quibusdam,Hiburan,3.0,Rp24.823,Rp74.469
10263,2023-11-22,Action Figure Beatae,Hiburan,3.0,Rp50.511,Rp151.533
10264,2024-02-05,Juicer Voluptate,Peralatan Dapur,4.0,Rp39.061,Rp156.244
10265,2024-03-07,Set Peralatan Masak Ut,Peralatan Dapur,5.0,Rp30.115,Rp150.575
10266,2024-10-26,Fiksi Aliquid,Buku,1.0,Rp43.894,Rp43.894
10267,2025-02-05,Mobil Remote Ipsum,Hiburan,3.0,Rp33.800,Rp101.400
10268,2025-03-27,Microwave Eius,Peralatan Dapur,2.0,Rp9.711,Rp19.422
10269,2025-02-20,Boneka Eius,Hiburan,5.0,Rp57.388,Rp286.940
10270,2024-06-09,Matras Yoga Consequuntur,Hiburan,4.0,Rp27.669,Rp110.676
10271,2024-09-29,Laptop Ipsam,Elektronik,2.0,Rp63.300,Rp126.600
10272,2025-09-02,Hiasan Dinding Neque,Dekorasi Rumah,4.0,Rp32.197,Rp128.788
10273,2024-08-27,Mobil Remote Et,Hiburan,4.0,Rp25.239,Rp100.956
10274,2024-02-16,Lemari Provident,Furnitur,4.0,Rp47.304,Rp189.216
10275,2025-04-16,Sepak Bola Temporibus,Hiburan,2.0,Rp19.112,Rp38.224
10276,2024-04-14,Ponsel Laudantium,Elektronik,5.0,Rp890,Rp4.450
10277,2024-04-10,Foundation Doloremque,Kecantikan,4.0,Rp62.321,Rp249.284
10278,2025-04-22,Pakaian Wanita Consequuntur,Pakaian,5.0,Rp31.545,Rp157.725
10279,2024-09-27,Lipstik Debitis,Kecantikan,1.0,Rp77.022,Rp77.022
10280,2024-02-06,Minyak Goreng Sit,Kebutuhan Pokok,5.0,Rp31.480,Rp157.400
10281,2025-08-17,Dumbel Assumenda,Hiburan,3.0,Rp77.903,Rp233.709
10282,2024-08-25,Sepak Bola Distinctio,Hiburan,4.0,Rp43.141,Rp172.564
10283,2025-06-30,Permainan Papan A,Hiburan,2.0,Rp41.901,Rp83.802
10284,2025-05-10,Foundation Necessitatibus,Kecantikan,5.0,Rp74.119,Rp370.595
10285,2025-08-05,Lemari Ratione,Furnitur,1.0,Rp45.039,Rp45.039
10286,2024-02-14,Microwave Ea,Peralatan Dapur,3.0,Rp23.107,Rp69.321
10287,2025-07-23,Ponsel Beatae,Elektronik,1.0,Rp19.031,Rp19.031
10288,2025-03-09,Vas Bunga Exercitationem,Dekorasi Rumah,5.0,Rp6.383,Rp31.915
10289,2024-03-30,Kamera Quasi,Elektronik,4.0,Rp19.136,Rp76.544
10290,2025-06-23,Kamera Atque,Elektronik,1.0,Rp24.046,Rp24.046
10291,2025-04-20,Sampo Nulla,Kecantikan,5.0,Rp52.962,Rp264.810
10292,2024-07-16,Sofa Dolorum,Furnitur,4.0,Rp697,Rp2.788
10293,2023-10-16,Foundation Officia,Kecantikan,4.0,Rp64.428,Rp257.712
10294,2025-05-10,Sampo Saepe,Kecantikan,1.0,Rp15.196,Rp15.196
10295,2023-11-05,Kursi Assumenda,Furnitur,2.0,Rp78.645,Rp157.290
10296,2024-06-03,Aksesori Perspiciatis,Pakaian,4.0,Rp66.392,Rp265.568
10297,2024-06-09,Lampu Ex,Dekorasi Rumah,3.0,Rp53.780,Rp161.340
10298,2025-09-17,Fiksi Rem,Buku,5.0,Rp27.298,Rp136.490
10299,2024-01-03,Buku Pelajaran Alias,Buku,1.0,Rp72.532,Rp72.532
10300,2024-09-14,Kamera Placeat,Elektronik,5.0,Rp32.758,Rp163.790
10301,2024-08-29,Headphone Rerum,Elektronik,1.0,Rp50.673,Rp50.673
